CodProv,CodDist,CodPost,CodLocal,CodBairro,Provincia,Distrito,Posto,Localidade,Bairro,informal_type,count,rate
01,01,03,99,01,Niassa,Lichinga,Massenger,Nao Aplicavel,Assumane,higheduc-wage,9.5412,0.008394156185042
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,loweduc-selfemp,313.7987,0.390500932141284
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,unpaidfam,331.083,0.412010056498427
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,higheduc-selfemp,49.0065,0.0609852237468856
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,higheduc-wage,80.1863,0.0997863435857467
01,01,03,99,02,Niassa,Lichinga,Massenger,Nao Aplicavel,Massenger,loweduc-wage,29.5054,0.0367174440276567
01,01,03,99,04,Niassa,Lichinga,Massenger,Nao Aplicavel,Sambula,unpaidfam,601.684,0.688137776692038
01,01,03,99,04,Niassa,Lichinga,Massenger,Nao Aplicavel,Sambula,loweduc-selfemp,262.9291,0.300708422197762
01,01,03,99,04,Niassa,Lichinga,Massenger,Nao Aplicavel,Sambula,employer,9.7525,0.0111538011101992
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,loweduc-selfemp,601.902,0.301970346199147
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,higheduc-wage,187.3966,0.0940156639761009
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,employer,67.5311,0.0338799167409466
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,unpaidfam,912.812500000001,0.457952136128322
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,higheduc-selfemp,77.5868,0.038924796489269
01,01,04,99,01,Niassa,Lichinga,Lulimile,Nao Aplicavel,Lulimile,loweduc-wage,146.0197,0.0732571404662147
01,01,04,99,02,Niassa,Lichinga,Lulimile,Nao Aplicavel,Mitava,unpaidfam,324.3173,0.569022242793032
01,01,04,99,02,Niassa,Lichinga,Lulimile,Nao Aplicavel,Mitava,loweduc-selfemp,206.4069,0.36214570473409
01,01,04,99,02,Niassa,Lichinga,Lulimile,Nao Aplicavel,Mitava,loweduc-wage,19.6649,0.0345025242325979
01,01,04,99,02,Niassa,Lichinga,Lulimile,Nao Aplicavel,Mitava,employer,9.7525,0.0171109879825685
01,01,04,99,02,Niassa,Lichinga,Lulimile,Nao Aplicavel,Mitava,higheduc-selfemp,9.8138,0.0172185402577114
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,loweduc-wage,273.2733,0.114425599804909
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,higheduc-wage,312.6061,0.130895116702485
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,loweduc-selfemp,1001.0321,0.419154372075383
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,employer,77.7881,0.0325716050568579
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,higheduc-selfemp,193.1179,0.080862753662961
01,01,04,99,07,Niassa,Lichinga,Lulimile,Nao Aplicavel,Nomba,unpaidfam,530.4007,0.222090552697404
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,loweduc-wage,278.1716,0.0898765128307459
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,loweduc-selfemp,1420.5001,0.458959848754243
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,higheduc-wage,377.5327,0.121979823086096
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,unpaidfam,583.0344,0.188376882227971
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,employer,148.5444,0.0479943052149661
01,02,01,99,01,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Aeroporto,higheduc-selfemp,287.259,0.0928126278859784
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,unpaidfam,1095.0974,0.413126288075444
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,loweduc-selfemp,1307.6993,0.493330508982906
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,higheduc-selfemp,19.8736,0.00749733000799395
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,higheduc-wage,109.5612,0.041332042129852
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,employer,49.5022,0.0186747408381832
01,02,01,99,03,Niassa,Cuamba,Cidade de Cuamba,Nao Aplicavel,Maganga,loweduc-wage,69.0233,0.0260390899656212
